external_id,unique_id,expiry_days
22121915,S-TTOSHZNZOR,1
22121914,S-0ZYRDIDPTA,0
22121887,S-LSTC24ISEO,1
22121883,S-BRORDAPNAS,0
22121882,S-CNCRRTQ8BH,1
22121881,S-DS6AXTDRTO,1
22121880,S-ALADHLYENM,1
22121866,S-3R9MTRNTSY,1
22121862,S-O68GSAIL7Z,0
22121850,S-NELABHRXOS,0
22121848,S-O5D2BOTBRB,1
22121842,S-09RR1RRBRM,1
22121841,S-CLLALROZDO,1
22121838,S-TBTOONQRTY,0
22121829,S-APRB8RRRM1,0
22121828,S-O5YRO7TRRC,0
22121824,S-MSMH5OBSN5,1
22121823,S-1OHHRSOY29,0
22121814,S-TMRRHOVPSB,0
22121802,S-XPRTOB1HAB,0
22121801,S-BZSYCAY9HR,0
22121799,S-SDCORVXC4T,0
22121787,S-TSZBSBDMAP,0
22121784,S-MD5MSY50SY,0
22121771,S-SC1OPE5PRT,0
22121770,S-OMANECDIYE,0
22121769,S-AS2SPG3MT3,0
22121762,S-45933CRQTT,0
22121749,S-NRHYTPORSA,0
22121748,S-PMDISDBBEI,0
22121744,S-TTPSSVTRRL,0
22121720,S-SD4S1CESAD,0
22121686,S-MC5OY1CTMZ,0
22121683,S-OIESYONE61,0
22121679,S-SETPBDCNB2,0
22121674,S-T9TSR6OMMA,0
22121666,S-D8TITOP0BO,0
22121663,S-7EBRVBIEEC,0
22121649,S-LBDOEEYCMR,0
22121646,S-T5Y1ISTOXS,0
22121642,S-IHNEXRT0SZ,0
22121641,S-AQ02QPRNLO,0
22121628,S-D1HTNO4073,0
22121625,S-A6DBR0E58A,0
22121624,S-QA6NPNQYSD,0
22121619,S-ERRRT4RVNR,0
22121618,S-RPASTYXMBD,0
22121616,S-OHTHRT4ME1,0
22121615,S-RAAAPYYSRS,0
22121589,S-HEBXTMSMC6,0
22121588,S-GI0N3DVYIB,0
22121567,S-MZMR932EZ9,0
22121565,S-EYPNC1VBPD,1
22121561,S-DYRNSCRNSZ,0
22121560,S-AY4ONROGL0,1
22121558,S-D90AHTNRSO,1
22121556,S-LRT6XNYPE5,1
22121542,S-ADYM0A4TLA,1
22121540,S-RONASYN8TD,0
22121538,S-LDRYY8DOO8,1
22121525,S-VONDAGIRCB,0
22121524,S-MOXD7OCTL2,0
22121505,S-52BSANTDEV,0
22121498,S-ATEOGMBBXR,1
22121496,S-YBMRY29ANR,1
22121492,S-TSR5PRG3EX,1
22121490,S-4YARR1MR4R,0
22121480,S-DTBCHS1LPA,1
22121474,S-RB0ATYAQYC,1
22121455,S-0P5LSOET7T,1
22121445,S-DZOS8NVRYE,0
22121434,S-6A18HYDBEG,1
22121417,S-RNS9ROL28D,0
22121416,S-HRBTTC19RN,1
22121405,S-YBT7TOO9OI,0
22121404,S-STRCC2M8OP,1
22121399,S-SENSTTBETS,1
22121398,S-R7ORNYRRV1,1
22121396,S-R19B4LMTN4,1
22121390,S-DL7BO0MSDT,1
22121388,S-IM18E7ODLL,0
22121387,S-MVTB72BHSD,1
22121379,S-EHYBS6RCYE,0
22121378,S-DAR4RRT3MY,1
22121360,S-DTSERBPIRN,1
